"","chart_week","current_week","title","performer","last_week","peak_pos","wks_on_chart"
"1","2025-01-04","1","All I Want For Christmas Is You","Mariah Carey","LW","1","PEAK"
"2","2025-01-04","2","Rockin' Around The Christmas Tree","Brenda Lee","LW","2","PEAK"
"3","2025-01-04","3","Last Christmas","Wham!","LW","3","PEAK"
"4","2025-01-04","4","Jingle Bell Rock","Bobby Helms","LW","4","PEAK"
"5","2025-01-04","5","Santa Tell Me","Ariana Grande","LW","9","PEAK"
"6","2025-01-04","6","A Holly Jolly Christmas","Burl Ives","LW","5","PEAK"
"7","2025-01-04","7","It's The Most Wonderful Time Of The Year","Andy Williams","LW","7","PEAK"
"8","2025-01-04","8","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","LW","8","PEAK"
"9","2025-01-04","9","Underneath The Tree","Kelly Clarkson","LW","10","PEAK"
"10","2025-01-04","10","The Christmas Song (Merry Christmas To You)","Nat ""King"" Cole","LW","14","PEAK"
"11","2025-01-04","11","Feliz Navidad","Jose Feliciano","LW","16","PEAK"
"12","2025-01-04","12","It's Beginning To Look A Lot Like Christmas","Michael Buble","LW","15","PEAK"
"13","2025-01-04","13","Sleigh Ride","The Ronettes","LW","17","PEAK"
"14","2025-01-04","14","Run Rudolph Run","Chuck Berry","LW","21","PEAK"
"15","2025-01-04","15","Christmas (Baby Please Come Home)","Darlene Love","LW","23","PEAK"
"16","2025-01-04","16","It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra","LW","24","PEAK"
"17","2025-01-04","17","Die With A Smile","Lady Gaga & Bruno Mars","LW","6","PEAK"
"18","2025-01-04","18","Jingle Bells","Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins","LW","27","PEAK"
"19","2025-01-04","19","White Christmas (1947)","Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra","LW","28","PEAK"
"20","2025-01-04","20","Deck The Halls","Nat King Cole","LW","31","PEAK"
"21","2025-01-04","21","Blue Christmas","Elvis Presley","LW","36","PEAK"
"22","2025-01-04","22","Santa Baby","Eartha Kitt With Henri Rene And His Orchestra","LW","37","PEAK"
"23","2025-01-04","23","Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry","LW","35","PEAK"
"24","2025-01-04","24","A Bar Song (Tipsy)","Shaboozey","LW","13","PEAK"
"25","2025-01-04","25","Little Saint Nick","The Beach Boys","LW","43","PEAK"
"26","2025-01-04","26","Wonderful Christmastime","Paul McCartney","LW","39","PEAK"
"27","2025-01-04","27","Luther","Kendrick Lamar & SZA","LW","11","PEAK"
"28","2025-01-04","28","Birds Of A Feather","Billie Eilish","LW","18","PEAK"
"29","2025-01-04","29","Please Come Home For Christmas","Eagles","LW","49","PEAK"
"30","2025-01-04","30","Rudolph The Red-Nosed Reindeer","Gene Autry & The Pinafores","LW","48","PEAK"
"31","2025-01-04","31","Christmastime Is Here","Vince Guaraldi Trio","LW","46","PEAK"
"32","2025-01-04","32","TV Off","Kendrick Lamar Featuring Lefty Gunplay","LW","12","PEAK"
"33","2025-01-04","33","That's So True","Gracie Abrams","LW","19","PEAK"
"34","2025-01-04","34","APT.","ROSE & Bruno Mars","LW","22","PEAK"
"35","2025-01-04","35RE-ENTRY","This Christmas","Donny Hathaway","LW","-","PEAK"
"36","2025-01-04","36RE-ENTRY","Baby It's Cold Outside","Dean Martin","LW","-","PEAK"
"37","2025-01-04","37","Holly Jolly Christmas","Michael Buble","LW","-","PEAK"
"38","2025-01-04","38RE-ENTRY","Merry Christmas","Ed Sheeran & Elton John","LW","-","PEAK"
"39","2025-01-04","39","Like It's Christmas","Jonas Brothers","LW","50","PEAK"
"40","2025-01-04","40RE-ENTRY","You're A Mean One, Mr. Grinch","Thurl Ravenscroft","LW","-","PEAK"
"41","2025-01-04","41","Taste","Sabrina Carpenter","LW","26","PEAK"
