,CMP,ATT,YDS,CMP%,AVG,LNG,TD,INT,SACK,SYL,RTG,school_name,school_year_name,record,Name,school_name,school_year_name,record
0,242,391,"3,168",61.9,8.1,69,15,7,10,-69,139.0,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American,Jake RetzlaffQB,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American
1,19,30,222,63.3,7.4,24,2,2,2,-11,134.2,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American,Brendan SullivanQB,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American
2,1,2,42,50.0,21.0,42,1,0,0,0,391.4,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American,Jimmy CallowayWR,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American
3,0,1,0,0.0,0.0,0,0,0,0,0,0.0,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American,Omari HayesWR,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American
4,262,425,"3,432",61.6,8.1,69,18,9,12,-80,139.2,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American,Total,TulaneGreen Wave,Tulane Green Wave Player Stats 2025,1st in American
5,319,463,"4,379",68.9,9.5,84,34,9,18,-135,168.7,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American,Drew MestemakerQB,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American
6,1,2,37,50.0,18.5,37,1,0,0,0,370.4,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American,Chris Jimerson Jr.QB,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American
7,5,7,36,71.4,5.1,11,0,0,0,0,114.6,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American,Reese PoffenbargerQB,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American
8,0,1,0,0.0,0.0,0,0,0,0,0,0.0,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American,Ashton GrayRB,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American
9,325,475,"4,452",68.4,9.4,84,35,9,18,-135,167.7,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American,Total,North TexasMean Green,North Texas Mean Green Player Stats 2025,1st in American
10,97,160,"1,580",60.6,9.9,82,12,6,6,-51,160.8,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American,Blake HorvathQB,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American
11,9,19,110,47.4,5.8,32,0,0,2,-14,96.0,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American,Braxton WoodsonQB,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American
12,0,2,0,0.0,0.0,0,0,0,1,-6,0.0,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American,Jackson GutierrezQB,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American
13,0,1,0,0.0,0.0,0,0,0,0,0,0.0,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American,Eli HeidenreichWR,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American
14,106,182,"1,690",58.2,9.3,82,12,6,9,-71,151.4,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American,Total,NavyMidshipmen,Navy Midshipmen Player Stats 2025,1st in American
15,269,408,"3,300",65.9,8.1,79,19,6,13,-89,146.3,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American,Katin HouserQB,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American
16,12,24,215,50.0,9.0,72,3,0,5,-37,166.5,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American,Chaston DittaQB,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American
17,1,1,17,100.0,17.0,17,0,0,0,0,242.8,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American,Ryan LeavyP,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American
18,3,7,13,42.9,1.9,10,0,0,0,0,58.5,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American,Mike Wright Jr.QB,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American
19,285,440,"3,545",64.8,8.1,79,22,6,18,-126,146.2,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American,Total,East CarolinaPirates,East Carolina Pirates Player Stats 2025,4th in American
20,226,341,"3,158",66.3,9.3,66,28,7,16,-113,167.1,South FloridaBulls,South Florida Bulls Player Stats 2025,4th in American,Byrum BrownQB,South FloridaBulls,South Florida Bulls Player Stats 2025,4th in American
