,Scoring,school_name,stats,school_name
0,Total Points Per Game,Tulane Green Wave Team Stats 2025,27.7,Tulane Green Wave Team Stats 2025
1,Total Points,Tulane Green Wave Team Stats 2025,388,Tulane Green Wave Team Stats 2025
2,Total Touchdowns,Tulane Green Wave Team Stats 2025,45,Tulane Green Wave Team Stats 2025
3,1st Downs,Tulane Green Wave Team Stats 2025,,Tulane Green Wave Team Stats 2025
4,Total 1st downs,Tulane Green Wave Team Stats 2025,307,Tulane Green Wave Team Stats 2025
5,Rushing 1st downs,Tulane Green Wave Team Stats 2025,117,Tulane Green Wave Team Stats 2025
6,Passing 1st downs,Tulane Green Wave Team Stats 2025,165,Tulane Green Wave Team Stats 2025
7,1st downs by penalty,Tulane Green Wave Team Stats 2025,25,Tulane Green Wave Team Stats 2025
8,3rd down efficiency,Tulane Green Wave Team Stats 2025,77-183,Tulane Green Wave Team Stats 2025
9,3rd down %,Tulane Green Wave Team Stats 2025,42.08,Tulane Green Wave Team Stats 2025
10,4th down efficiency,Tulane Green Wave Team Stats 2025,12-23,Tulane Green Wave Team Stats 2025
11,4th down %,Tulane Green Wave Team Stats 2025,52.17,Tulane Green Wave Team Stats 2025
12,Passing,Tulane Green Wave Team Stats 2025,,Tulane Green Wave Team Stats 2025
13,Comp-Att,Tulane Green Wave Team Stats 2025,262-425,Tulane Green Wave Team Stats 2025
14,Net Passing Yards,Tulane Green Wave Team Stats 2025,"3,432",Tulane Green Wave Team Stats 2025
15,Yards Per Pass Attempt,Tulane Green Wave Team Stats 2025,8.1,Tulane Green Wave Team Stats 2025
16,Net Passing Yards Per Game,Tulane Green Wave Team Stats 2025,245.1,Tulane Green Wave Team Stats 2025
17,Passing Touchdowns,Tulane Green Wave Team Stats 2025,18,Tulane Green Wave Team Stats 2025
18,Interceptions,Tulane Green Wave Team Stats 2025,9,Tulane Green Wave Team Stats 2025
19,Sacks-Yards Lost,Tulane Green Wave Team Stats 2025,12--80,Tulane Green Wave Team Stats 2025
20,Rushing,Tulane Green Wave Team Stats 2025,,Tulane Green Wave Team Stats 2025
21,Rushing Attempts,Tulane Green Wave Team Stats 2025,515,Tulane Green Wave Team Stats 2025
22,Rushing Yards,Tulane Green Wave Team Stats 2025,"2,328",Tulane Green Wave Team Stats 2025
23,Yards Per Rush Attempt,Tulane Green Wave Team Stats 2025,4.5,Tulane Green Wave Team Stats 2025
24,Rushing Yards Per Game,Tulane Green Wave Team Stats 2025,166.3,Tulane Green Wave Team Stats 2025
